Flight No.,"Version,Booster [b]",Launch site,Payload[c],Payload mass,Orbit,Customer,Launchoutcome,Boosterlanding,Payload,Launch outcome,Version Booster,Booster landing,Date,Time
31,,KSC,,"12,050 kg",LEO,SpaceX,,,SSO-A,"Success
",F9 v1.1,Failure,2 March 2015,23:03
32,,KSC,,"15,600 kg",LEO,NASA,,,SpaceX CRS-16,"Success
",F9 v1.1,Success,14 April 2015,03:50
33,,KSC,,"15,600 kg",LEO,Sirius XM,,,GPS III,"Success
",F9 v1.1,Success,27 April 2015,20:10
34,,VAFB,,"1,977 kg",MEO,NRO,,,Iridium NEXT,"Success
",F9 v1.1,Success,28 June 2015,23:03
35,,KSC,,"15,600 kg",LEO,Türksat,,,Nusantara Satu,"Success
",F9 FT,Success,22 December 2015,14:21
36,,KSC,,"15,600 kg",LEO,SpaceX,,,Crew Dragon Demo-1,"Success
",F9 v1.1,Success,17 January 2016,01:29
37,,VAFB,,"12,530 kg",LEO,S,,,SpaceX CRS-17,"Success
",F9 FT,Success,4 March 2016,18:42
38,,KSC,,"15,600 kg",LEO,N,,,Starlink,"Success
",F9 FT,Success,8 April 2016,23:35
39,,VAFB,,"15,410 kg",GTO,N,,,RADARSAT Constellation,"Success
",F9 FT,Success,6 May 2016,20:43
40,,KSC,,"4,311 kg",LEO,N,,,SpaceX CRS-18,"Success
",F9 FT,Success,27 May 2016,05:21
41,,KSC,,"5,000–6,000 kg",GTO,N,,,AMOS-17,"Success
",F9 FT,Success,15 June 2016,21:39
42,,Cape Canaveral,,"14,932 kg",LEO,M,,,Starlink,"Success
",F9 FT,Success,18 July 2016,14:29
43,,VAFB,,"~15,440 kg",SSO,S,,,SpaceX CRS-19,"Success
",F9 FT,Success,14 August 2016,04:45
44,,CCAFS,,"3,130 kg",LEO,T,,,JCSat-18,"Success
",F9 FT,Success,14 January 2017,05:26
45,,CCAFS,,"15,600 kg",LEO,N,,,Starlink,"Success
",F9 FT,Success,19 February 2017,17:54
46,,VAFB,,"15,600 kg",LEO,O,,,Crew Dragon in-flight abort test,"Success
",F9 FT,Success,16 March 2017,14:39
47,,CCAFS,,"15,600 kg",LEO,A,,,Starlink,"Success
",F9 FT♺,Success,30 March 2017,06:00
48,,VAFB,,"15,600 kg",LEO,A,,,Starlink,"Success
",F9 FT,Success,1 May 2017,22:27
49,,CCAFS,,"4,311 kg",Polar orbit,N,,,SpaceX CRS-20,"Success
",F9 FT,Success,15 May 2017,11:15
50,,CCAFS,,"~12,500 kg",GTO,N,,,Starlink,"Success
",F9 FT,Success,3 June 2017,23:21
51,,KSC,,"1,192 kg",GTO,U,,,Starlink,"Success
",F9 FTB1029.2,Success,23 June 2017,21:07
52,,VAFB,,"15,600 kg",LEO,A,,,Crew Dragon Demo-2,"Success
",F9 FT,Success,25 June 2017,19:10
53,,CCAFS,,"2,972 kg",LEO,N,,,Starlink,"Success
",F9 FT,Success,5 July 2017,20:25
54,,CCAFS,,"7,000 kg",GTO,SpaceX,,,Starlink,"Success
",F9 B4,Failure,14 August 2017,23:38
55,,CCAFS,,C,GTO,NASA,,,GPS III,Success,F9 FT,Failure,24 August 2017,16:31
56,,VAFB,,"3,500 kg",LEO,NASA,,,ANASIS-II,Success,F9 B4,"No attempt
",7 September 2017,18:51
57,,CCAFS,,"15,600 kg",LEO,NASA,,,Starlink,"Success
",F9 B4,No attempt,9 October 2017,14:00
58,,CCAFS,,"~5,000 kg",HEO,NASA,,,Starlink,"Success
",F9 FTB1031.2,"No attempt
",11 October 2017,12:37
